sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
87,True,9,800.0,9,0,True,0,0,3128.5366666666664,3175.1101372340877,1.029994938428793,114.86,115.19222222222223,115.48
88,True,9,800.0,9,0,True,0,0,2996.1511111111113,3051.2296282355123,1.0371041190823869,114.05,114.35666666666667,114.74
89,True,9,800.0,9,0,True,0,0,2708.6844444444446,2794.3322924647155,1.0642392499823972,113.99,114.02444444444444,114.05
90,True,9,800.0,9,0,True,0,0,2555.83,2660.928198599128,1.0839328658996417,114.0,114.05222222222223,114.09
91,True,9,800.0,9,0,True,0,0,2675.2055555555553,2762.415917479561,1.0662617261771843,114.14,114.53222222222222,114.95
92,True,9,800.0,9,0,True,0,0,2779.761111111111,2882.1353306089645,1.0750131798289855,115.02,115.23666666666668,115.4
93,True,8,800.0,9,-1,True,0,0,2805.44875,2908.5518287349632,1.0748526594479382,115.36,115.41875,115.45
94,True,8,800.0,9,-1,True,0,0,2723.3725000000004,2812.1945174854104,1.0662931493001602,115.13,115.21249999999999,115.32
95,True,9,800.0,9,0,True,0,0,2684.887777777778,2771.4607257966572,1.0655287724228522,114.79,114.94555555555556,115.11
96,True,9,800.0,9,0,True,0,0,2770.027777777778,2844.8940506204367,1.0547850015964975,114.78,114.89333333333333,114.97
97,True,8,800.0,9,-1,True,0,0,2805.50375,2877.8620625887374,1.0522483203919604,115.0,115.14500000000001,115.28
98,True,9,800.0,9,0,True,0,0,2691.704444444444,2791.8686134399504,1.0758090899265862,115.33,115.55222222222223,115.78
99,True,8,800.0,9,-1,True,0,0,2863.9612500000003,2945.7165550783225,1.0579073533702592,115.37,115.5575,115.78
100,True,9,800.0,9,0,True,0,0,2799.8333333333335,2879.7473566115327,1.057899512934152,115.14,115.24888888888889,115.36
101,True,9,800.0,9,0,True,0,0,2729.253333333333,2802.459493369668,1.0543650202568324,115.12,115.36111111111111,115.54
102,True,9,800.0,9,0,True,0,0,2690.8288888888887,2797.0656913113626,1.080520893885674,115.56,115.6522222222222,115.75
103,True,9,800.0,9,0,True,0,0,2756.8433333333332,2851.6042310503826,1.069927444462711,115.78,115.85333333333334,115.91
105,True,9,800.0,9,0,True,0,0,2656.211111111111,2742.3487355347224,1.0659091380945318,115.94,115.97222222222223,116.0
106,True,9,800.0,9,0,True,0,0,2656.5655555555554,2768.84143880312,1.0863133014299435,116.01,116.05444444444444,116.1
108,True,9,800.0,9,0,True,0,0,2796.0844444444447,2856.62479242355,1.0437724638779238,115.89,115.94222222222223,116.0
109,True,8,800.0,9,-1,True,0,0,2833.96375,2911.582482102731,1.0555276490245324,115.8,115.845,115.89
110,True,8,800.0,9,-1,True,0,0,2903.715,2962.3862908135393,1.0408194571430944,115.6,115.695,115.77
111,True,9,800.0,9,0,True,0,0,2877.2788888888886,2941.6612233887317,1.0452529284782694,115.49,115.50777777777778,115.55
112,True,9,800.0,9,0,True,0,0,2793.1566666666668,2844.4229805064742,1.0370453916843605,115.48,115.53333333333333,115.61
